id,title_ru,title_ua,header_id,type_price_id
1,00000001,00000001,1,1
2,Закупочная,Закупівельна,2,1
3,Цена закупочная,Ціна закупівельна,3,1
4,,,4,1
5,Ручное назначение,Ручне призначення,5,1
6,,,6,1
7,Покупка,Купівля,7,1
8,Закупочная,Закупівельна,8,1
9,00000002,00000002,1,2
10,Розничная,Роздрібна,2,2
11,Цена розничная,Ціна роздрібна,3,2
12,Грн,Грн,4,2
13,Ручное назначение,Ручне призначення,5,2
14,,,6,2
15,Продажа,Продаж,7,2
16,Закупочная,Закупівельна,8,2
17,00000003,00000003,1,3
18,Оптовая,Оптова,2,3
19,Цена оптовая,Ціна оптова,3,3
20,Грн,Грн,4,3
21,Ручное назначение,Ручне призначення,5,3
22,,,6,3
23,Продажа,Продаж,7,3
24,Закупочная,Закупівельна,8,3
